name,keywords,address,latitude,longitude,rating,reviews_count,price_level,phone,website,hours,permanently_closed,description,original_tags,original_comment,url,status
Leckerbaer,Cake shop,"Ryesgade 118, 2100 København Ø ",,,4.6,241,,28 40 48 64,http://leckerbaer.dk/,,No,,,,https://www.google.com/maps/place/Leckerbaer/data=!4m2!3m1!1s0x465252fc9a472a3b:0x1c69782f50b04f89,success
Andersen & Maillard,Coffee shop,"Antwerpengade 10, 2150 København ",55.7072013,12.5966835,4.4,561,,33 32 23 22,https://www.andersenmaillard.dk/,,No,,,,https://www.google.com/maps/place/Andersen+%26+Maillard/data=!4m2!3m1!1s0x46525340d60ad511:0xb0f67808cae024e9,success
Collective Bakery,Bakery,"Nørrebrogade 176, 2200 København ",55.6967659,12.5455458,4.3,141,,31 36 75 33,https://www.collectivebakery.dk/,,No,,,,https://www.google.com/maps/place/Collective+Bakery/data=!4m2!3m1!1s0x4652537daeda7453:0x4b4a8ef15339e121,success
Bageriet Benji,Pastry shop,"Mjølnerparken 52, 2200 København N ",55.7038803,12.5417881,4.5,190,,,https://www.earnest-eats.dk/projects-1/benji,,No,,,,https://www.google.com/maps/place/Bageriet+Benji/data=!4m2!3m1!1s0x465253a73dacd217:0x8f04631805fab283,success
Sinne gas bageri,Bakery,"Ryesgade 63, 2100 København ",55.6945642,12.5705826,4.9,284,,,https://sinnegasbageri.dk/,,No,,,,https://www.google.com/maps/place/Sinne+gas+bageri/data=!4m2!3m1!1s0x465253e902130051:0x3f6f375e56801295,success
La Cabra,Coffee roasters,"Århusgade 118X, 2150 København ",55.707163,12.5920549,4.5,43,,,https://lacabra.com/pages/nordhavn,,No,,,,https://www.google.com/maps/place/La+Cabra/data=!4m2!3m1!1s0x46525314a7b7ede7:0x3a4a1e0f4b65854f,success
Skipper Bageri,"Bakery; pistachio croissant
15; coffee
22; cinnamon buns
10; selection
7","Østerbrogade 103, 3. th, 2100 København ",55.7096286,12.5772439,4.6,253,,24 24 53 61,https://www.facebook.com/Skipper-bageri-107406865450827/,,No,,,,https://www.google.com/maps/place/Skipper+Bageri/data=!4m2!3m1!1s0x465253da34838ac5:0xab3822dff8c8f5fa,success
DILLON,Bakery,"Tåsingegade 51, 2100 København ",55.7102606,12.5663434,4.7,73,,71 55 43 28,https://www.instagram.com/dillon.cph/,,No,,,,https://www.google.com/maps/place/DILLON/data=!4m2!3m1!1s0x46525306067ca7f5:0x47aaf7dcb857086f,success
Rug Bakery,"Bakery; cinnamon bun
48; hotel
31; train station
29; cardamom bun
32","Tietgensgade 39, 1704 København ",55.6712708,12.567272,4.5,"1,003",,78 73 00 58,https://rugbakery.com/,,No,,,,https://www.google.com/maps/place/Rug+Bakery/data=!4m2!3m1!1s0x46525359463436c3:0x9c0a400a20eca83e,success
Perron,"Bakery; experience
4; brunch
5; coffee
9; croissants
5","Otto Busses Vej 45, 2450 København ",55.6583954,12.5427843,4.0,126,,,https://www.perroncph.dk/,,No,,,,https://www.google.com/maps/place/Perron/data=!4m2!3m1!1s0x46525374332fc119:0xb6a2e77f1147712e,success
