name,food_tags,mood_tags,address,neighborhood,latitude,longitude,rating,reviews_count,price_level,phone,website,hours,permanently_closed,temporarily_closed,maps url,status
1105,,,"Kristen Bernikows Gade 4, 1105 København",Indre By,55.6805305,12.5823574,4.5,,,,http://1105.dk/,Permanently closed,Yes,No,https://www.google.com/maps/place/1105/data=!4m2!3m1!1s0x46525317624a1e57:0x25dcef41656d4f9,success
1656,Cocktails,Bar,"Gasværksvej 33, 1656 København",Vesterbro,55.6699318,12.5583188,4.6,836,,,http://1656.dk/,Closed · Opens 6.00 pm Tue,No,No,https://www.google.com/maps/place/1656+Cocktail+Bar/data=!4m2!3m1!1s0x465253737cad5685:0xf0a8ed94a98c290f,success
20 Grams,Coffee,Cafe,"Rosengården 13, 1174 København",Indre By,55.6822883,12.5723634,4.5,"1,369",,,https://www.20grams.dk/,Open · Closes 6.45 pm,No,No,https://www.google.com/maps/place/20+Grams+-+Specialty+Coffee+Shop/data=!4m2!3m1!1s0x4652539d0b519b5f:0x82e618e7956901eb,success
Admiralgade 26,French,Restaurant,"Admiralgade 26, 1066 København",Indre By,55.677616,12.5821043,4.6,367,,33 33 79 73,http://www.admiralgade26.dk/,Open · Closes 3.00 pm,No,No,https://www.google.com/maps/place/Admiralgade+26/data=!4m2!3m1!1s0x46525316f95cfe69:0xb08ee1096cccbe38,success
Ahaaa,Mediterranean,Restaurant,"Blågårdsgade 21, 2200 København",Nørrebro,55.6864931,12.5584118,4.4,681,,35 39 00 85,http://ahaaa.dk/,Permanently closed,Yes,No,https://www.google.com/maps/place/Ahaaa/data=!4m2!3m1!1s0x4652530770b83b05:0xe809503556ace9b5,success
Alice Ice Cream & Coffee,Fastelavnsbolle; Ice Cream,Cafe,"Markmandsgade 1, Amagerbrogade 5, 2300 København",Amager,55.6684086,12.5970575,4.4,653,,,https://www.earnest-eats.dk/projects-1/alice-63gjd,Open · Closes 5.00 pm,No,No,https://www.google.com/maps/place/Alice+Ice+Cream+%26+Coffee/data=!4m2!3m1!1s0x4652533874b25553:0x24522c2aa3dffe0d,success
Alouette,New Nordic,Restaurant,"Kronprinsessegade 8, 1306 København",Indre By,55.6831601,12.581445,4.7,476,,31 67 66 06,http://www.restaurantalouette.dk/,Closed · Opens 5.00 pm Wed,No,No,https://www.google.com/maps/place/Alouette/data=!4m2!3m1!1s0x46525347f7eb7a71:0xe9ea3632823a9a34,success
Andersen & Maillard,Fastelavnsbolle; Pastry,Cafe,"Nørrebrogade 62, 2200 København",Nørrebro,55.6903659,12.5551042,4.4,"2,098",,,https://www.andersenmaillard.dk/,Open · Closes 6.00 pm,No,No,https://www.google.com/maps/place/Andersen+%26+Maillard/data=!4m2!3m1!1s0x46525248586eef61:0x937ff35354fafcad,success
Andersen Bakery,Fastelavnsbolle; Pastry,Cafe,"Thorshavnsgade 26, 2300 København",Amager,55.6672402,12.5785336,4.6,"2,950",,33 75 07 35,https://andersen-bakery-eu.dk/,Open · Closes 6.00 pm,No,No,https://www.google.com/maps/place/Andersen+Bakery/data=!4m2!3m1!1s0x4652530d731eb667:0x421b0fb5b128311,success
Apotek 57,Coffee; Brunch,Cafe; Shop,"Fredericiagade 57, 1310 København",Indre By,55.6869872,12.5857865,4.0,"1,074",,31 40 60 30,https://framacph.com/blogs/stores/apotek-57,Open · Closes 4.00 pm,No,No,https://www.google.com/maps/place/Apotek+57/data=!4m2!3m1!1s0x465253935f555031:0x84a8f1afe517838f,success
Ard Bakery,Fastelavnsbolle; Pastry,Bakery,"Peter Bangs Vej 95, 2000 Frederiksberg",Frederiksberg,55.678465,12.501709,4.4,258,,31 31 38 24,http://www.ardbakery.dk/,Open · Closes 5.00 pm,No,No,https://www.google.com/maps/place/Ard+Bakery/data=!4m2!3m1!1s0x465253c30d306aa7:0x96cdb8507c16e76c,success
Atelier September,Brunch,Cafe,"Kronprinsessegade 62, 1306 København",Indre By,55.6873916,12.5849268,3.8,"1,022",,60 16 80 39,https://cafeatelierseptember.com/,Open · Closes 6.00 pm,No,No,https://www.google.com/maps/place/Atelier+September/data=!4m2!3m1!1s0x465253407fbd819b:0x5563127a7f7e056d,success
B&W Brunch,Brunch; Buffet,Restaurant,"Vesterbrogade 149, 1620 København",Vesterbro,55.6695664,12.5387381,4.3,160,,93 88 81 29,http://www.bogwbrunch.dk/,Closed · Opens 9.30 am Sat,No,No,https://www.google.com/maps/place/B%26W+Brunch/data=!4m2!3m1!1s0x4652539a171ec743:0xf27581fac53cabb,success
Banegaarden,Street Food,Restaurant; Al Fresco,"Otto Busses Vej 45, 2450 København",Sydhavn,55.6584559,12.5426132,4.2,"1,212",,,http://www.banegaarden.com/,,No,No,https://www.google.com/maps/place/Banegaarden/data=!4m2!3m1!1s0x465253828da72089:0x4b84c9d6f6839edc,success
Barabba,Italian,Restaurant,"Store Kongensgade 34, 1264 København",Indre By,55.6826053,12.5864333,4.2,651,,33 10 10 40,http://www.barabba.dk/,,No,No,https://www.google.com/maps/place/Barabba/data=!4m2!3m1!1s0x465253185b416dd9:0x27c5b281a568f474,success
Baryl Frederiksberg,Brunch,Restaurant; Cafe,"Holger Danskes Vej 64, 2000 Frederiksberg",Frederiksberg,55.6877733,12.5332913,4.5,335,,30 14 39 34,http://www.baryl.dk/,,No,No,https://www.google.com/maps/place/Baryl+Frederiksberg/data=!4m2!3m1!1s0x465253d41583267b:0xaafd96a031a6ea46,success
Beau Marché,Wine,Bar,"Ny Østergade 32, 1101 København",Indre By,55.6820456,12.581446,4.2,360,,55 77 14 30,http://beaumarche.dk/,,No,No,https://www.google.com/maps/place/Beau+March%C3%A9+Caf%C3%A9+%C3%A0+Vins/data=!4m2!3m1!1s0x46525319ed70f621:0xe0b1b9911a9a6cc8,success
BonBon Ice,Ice Cream,Al Fresco,"Andebakkesti 4, 2000 Frederiksberg",Frederiksberg,55.6787518,12.5274182,4.7,306,,21 68 01 04,http://bonbonice.dk/,Temporarily closed,No,Yes,https://www.google.com/maps/place/BonBon+Ice/data=!4m2!3m1!1s0x465253be85519fef:0xb2042616add4053c,success
