name,keywords,address,latitude,longitude,rating,reviews_count,price_level,phone,website,hours,permanently_closed,description,original_tags,original_comment,url,status
Leckerbaer,Cake shop,"Ryesgade 118, 2100 København Ø ",506720377132.3854,204729964593.4162,4.6,241,,28 40 48 64,http://leckerbaer.dk/,,No,,,,https://www.google.com/maps/place/Leckerbaer/data=!4m2!3m1!1s0x465252fc9a472a3b:0x1c69782f50b04f89,success
Andersen & Maillard,Coffee shop,"Antwerpengade 10, 2150 København ",506720406438.43085,1275151136980.993,4.4,561,,33 32 23 22,https://www.andersenmaillard.dk/,,No,,,,https://www.google.com/maps/place/Andersen+%26+Maillard/data=!4m2!3m1!1s0x46525340d60ad511:0xb0f67808cae024e9,success
Collective Bakery,"price
5; cheese
6; coffee
23; sesame
4; Bakery","Nørrebrogade 176, 2200 København ",506720432571.98315,542530586396.07806,4.3,141,,31 36 75 33,https://www.collectivebakery.dk/,,No,,,,https://www.google.com/maps/place/Collective+Bakery/data=!4m2!3m1!1s0x4652537daeda7453:0x4b4a8ef15339e121,success
Bageriet Benji,"buns
8; takeaway
7; cardamom
10; filtered coffee
6; Pastry shop","Mjølnerparken 52, 2200 København N ",506720450420.96423,1030547079786.625,4.5,190,,,https://www.earnest-eats.dk/projects-1/benji,,No,,,,https://www.google.com/maps/place/Bageriet+Benji/data=!4m2!3m1!1s0x465253a73dacd217:0x8f04631805fab283,success
Sinne gas bageri,Bakery,"Ryesgade 63, 2100 København ",506720478667.7547,457093302082.7063,4.9,284,,,https://sinnegasbageri.dk/,,No,,,,https://www.google.com/maps/place/Sinne+gas+bageri/data=!4m2!3m1!1s0x465253e902130051:0x3f6f375e56801295,success
La Cabra,"Coffee roasters; pastry
4; barista
3; atmosphere
3; interiors
2","Århusgade 118X, 2150 København ",506720387462.8562,420020264921.9729,4.5,43,,,https://lacabra.com/pages/nordhavn,,No,,,,https://www.google.com/maps/place/La+Cabra/data=!4m2!3m1!1s0x46525314a7b7ede7:0x3a4a1e0f4b65854f,success
Skipper Bageri,"cinnamon buns
10; pistachio croissant
15; selection
7; coffee
22; Bakery","Østerbrogade 103, 3. th, 2100 København ",506720472309.9274,1233764952023.348,4.6,253,,24 24 53 61,https://www.facebook.com/Skipper-bageri-107406865450827/,,No,,,,https://www.google.com/maps/place/Skipper+Bageri/data=!4m2!3m1!1s0x465253da34838ac5:0xab3822dff8c8f5fa,success
DILLON,"pistachio
8; cone
7; coffee
11; gelato
14; Bakery","Tåsingegade 51, 2100 København ",506720381179.4004,516421244579.6305,4.7,73,,71 55 43 28,https://www.instagram.com/dillon.cph/,,No,,,,https://www.google.com/maps/place/DILLON/data=!4m2!3m1!1s0x46525306067ca7f5:0x47aaf7dcb857086f,success
Rug Bakery,Bakery,"Tietgensgade 39, 1704 København ",506720416934.5284,1124386982763.513,4.5,"1,003",,78 73 00 58,https://rugbakery.com/,,No,,,,https://www.google.com/maps/place/Rug+Bakery/data=!4m2!3m1!1s0x46525359463436c3:0x9c0a400a20eca83e,success
Perron,"coffee
9; brunch
5; croissants
5; experience
4; Bakery","Otto Busses Vej 45, 2450 København ",506720428499.0341,1316033558977.1802,4.0,126,,,https://www.perroncph.dk/,,No,,,,https://www.google.com/maps/place/Perron/data=!4m2!3m1!1s0x46525374332fc119:0xb6a2e77f1147712e,success
