Title,Note,URL,Tags,Comment
1656,,https://www.google.com/maps/place/1656+Cocktail+Bar/data=!4m2!3m1!1s0x465253737cad5685:0xf0a8ed94a98c290f,,
20 Grams,,https://www.google.com/maps/place/20+Grams+-+Specialty+Coffee+Shop/data=!4m2!3m1!1s0x4652539d0b519b5f:0x82e618e7956901eb,,
Admiralgade 26,,https://www.google.com/maps/place/Admiralgade+26/data=!4m2!3m1!1s0x46525316f95cfe69:0xb08ee1096cccbe38,,
Ahaaa,,https://www.google.com/maps/place/Ahaaa/data=!4m2!3m1!1s0x4652530770b83b05:0xe809503556ace9b5,,
Alice Ice Cream & Coffee,,https://www.google.com/maps/place/Alice+Ice+Cream+%26+Coffee/data=!4m2!3m1!1s0x4652533874b25553:0x24522c2aa3dffe0d,,
Alouette,,https://www.google.com/maps/place/Alouette/data=!4m2!3m1!1s0x46525347f7eb7a71:0xe9ea3632823a9a34,,
Andersen & Maillard,,https://www.google.com/maps/place/Andersen+%26+Maillard/data=!4m2!3m1!1s0x46525340d60ad511:0xb0f67808cae024e9,,
Andersen & Maillard,,https://www.google.com/maps/place/Andersen+%26+Maillard/data=!4m2!3m1!1s0x46525248586eef61:0x937ff35354fafcad,,
Andersen Bakery,,https://www.google.com/maps/place/Andersen+Bakery/data=!4m2!3m1!1s0x4652530d731eb667:0x421b0fb5b128311,,
Andersen Bakery,,https://www.google.com/maps/place/Andersen+Bakery/data=!4m2!3m1!1s0x46525598ff0d609b:0x41a63611b0520691,,
Ard Bakery,,https://www.google.com/maps/place/Ard+Bakery/data=!4m2!3m1!1s0x465253c30d306aa7:0x96cdb8507c16e76c,,
Atelier September,,https://www.google.com/maps/place/Atelier+September/data=!4m2!3m1!1s0x465253407fbd819b:0x5563127a7f7e056d,,
B&W Brunch,,https://www.google.com/maps/place/B%26W+Brunch/data=!4m2!3m1!1s0x4652539a171ec743:0xf27581fac53cabb,,
Bageriet Benji,,https://www.google.com/maps/place/Bageriet+Benji/data=!4m2!3m1!1s0x465253a73dacd217:0x8f04631805fab283,,
Banegaarden,,https://www.google.com/maps/place/Banegaarden/data=!4m2!3m1!1s0x465253828da72089:0x4b84c9d6f6839edc,,
Barabba,,https://www.google.com/maps/place/Barabba/data=!4m2!3m1!1s0x465253185b416dd9:0x27c5b281a568f474,,
Baryl Frederiksberg,,https://www.google.com/maps/place/Baryl+Frederiksberg/data=!4m2!3m1!1s0x465253d41583267b:0xaafd96a031a6ea46,,
Beau Marché,,https://www.google.com/maps/place/Beau+March%C3%A9+Caf%C3%A9+%C3%A0+Vins/data=!4m2!3m1!1s0x46525319ed70f621:0xe0b1b9911a9a6cc8,,
BonBon Ice,,https://www.google.com/maps/place/BonBon+Ice/data=!4m2!3m1!1s0x465253be85519fef:0xb2042616add4053c,,
BRUS,,https://www.google.com/maps/place/BRUS/data=!4m2!3m1!1s0x464b8b471e46ee37:0x1344df1d782c450,,
BRYGGENS SPISEHUS,,https://www.google.com/maps/place/BRYGGENS+SPISEHUS/data=!4m2!3m1!1s0x4652536ba59fbbfb:0xe635cb8faa3744b3,,
Buka,,https://www.google.com/maps/place/Buka/data=!4m2!3m1!1s0x465253af4ebdffa7:0xf8ebf993e5128c15,,
Bæst,,https://www.google.com/maps/place/B%C3%A6st/data=!4m2!3m1!1s0x4652539fdf087b7d:0x2d53b8ea6d057d5e,,
Cadence,,https://www.google.com/maps/place/Cadence/data=!4m2!3m1!1s0x465253af6a43f145:0x363d733582017eae,,
Cafe Ermanno,,https://www.google.com/maps/place/Cafe+Ermanno/data=!4m2!3m1!1s0x46525322a71c2609:0x245142172929cec4,,
Cafe Kodan,,https://www.google.com/maps/place/Cafe+Kodan/data=!4m2!3m1!1s0x465253746aaae4d5:0xb54b99c5084ca870,,
Cafe Væksthuset,,https://www.google.com/maps/place/Cafe+V%C3%A6ksthuset/data=!4m2!3m1!1s0x465253a3630db683:0x2848309b4b43db3f,,
